Part No.,Part Type,Description,QPA,Level,Qty per Batch (100pcs),Total Qty
2200701340500HF0,電感,環形EMI電感 28*13*16mm （25Mhz35 (MIN) OHM）/（100MHz70 (MIN) OHM）材質：鎳鋅鐵芯/800ui,0,3,100,0
C06254MSDIP00N00,插頭.插座,排針端子 單排單塑排針 排針間距2.54mm  1*6P,1,3,100,100
C02250FSCLP00N00,插頭.插座,NTC線組 10KΩ±1% B25/50=3950K±1% / AWG24 線長170mm / JST XH 2.5mm 2P,1,3,100,100
C02250MSDIP00N00,插頭.插座,XH-2A 2.5mm 立式 白色,2,3,100,200
C03250MSDIP00N00,插頭.插座,XH-3A 2.5mm 立式 白色,2,3,100,200
C03250MSDIP00N00,插頭.插座,XH-3A 2.5mm 立式 紅色,1,3,100,100
SMM030L05PJ01010,五金件,"螺絲/PM3*5mm/圓頭/碳鋼,鍍鎳",18,3,100,1800
SMM030L06PJ01010,五金件,"螺絲/PM3*6mm/圓頭/碳鋼,鍍鋅",1,3,100,100
SMM030L08PJ01010,五金件,"螺絲/PM3*8mm/圓頭/碳鋼,鍍鋅",1,3,100,100
772SLD6200000HF0,白膠,單租分室溫硫化矽橡膠 導熱係數2,0.03,3,100,3.0
WNW02015XX00011T,DC線,AWG12 1015 輸出線 150mm 一端撥4mm鍍錫3mm 另一端接TW60-M端子,1,3,100,100
882S254040201000,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W BS BD,1,2,100,100
1010302531101HF0,PCB,S25404-02 70*48*1.6mm 雙面板 FR-4 94V-0 2oz L-F HASL綠油白字,1,3,100,100
103014K702241HF0,貼片電阻,4.7K±5% 0805 1/8W,3,3,100,300
1030110K02241HF0,貼片電阻,10K±5% 0805 1/8W,3,3,100,300
10301100R2241HF0,貼片電阻,100Ω±5% 0805 1/8W,1,3,100,100
1030120R02320HF0,貼片電阻,20Ω±1% 1206 1/4W,13,3,100,1300
10301470R2240HF0,貼片電阻,470Ω±5% 0805 1/8W,1,3,100,100
1030120R02620HF0,貼片電阻,厚膜高功率晶片電阻 20Ω 1% 2512 2W,12,3,100,1200
1030100R02341HF0,貼片電阻,0Ω±5% 1206 1/4W,2,3,100,200
10301100K2240HF0,貼片電阻,100K±5% 0805 1/8W,1,3,100,100
103011K002241HF0,貼片電阻,1K±5% 0805 1/8W,12,3,100,1200
1026100NK9061HF0,貼片電容,104K/50V±10% X7R 0805,2,3,100,200
102604U7K9060HF0,貼片電容,475K/50V±10% X5R 0805,3,3,100,300
1026220NK9060HF0,貼片電容,224K/50V±10% X7R 0805,13,3,100,1300
1030100R02241HF0,貼片電容,0Ω±5% 0805 1/8W,2,3,100,200
102601U0K9061HF0,貼片電容,105K/50V±10% X7R 0805,1,3,100,100
1040100955900HFT,貼片二極管,Schottky Diode 1A/100V SOD-123FL,2,3,100,200
1050200330201HFT,貼片三極管,NPN 1A/100V 1W SOT-89,1,3,100,100
1040502040600HFT,穩壓二極管(貼片式),Zener Diodes 10V 0.5W SOD-123 ,12,3,100,1200
1130100020211HF0,光耦合器(貼片式),PHOTOCOUPLER CTR:200 to 400% SSOP-4,2,3,100,200
1080101581200HFT,場效應管(貼片式),N-MOS 5.1A/20V SOT-23,12,3,100,1200
1070202124900HFT,貼片IC,MCU  HT45F5Q-3 24 SSOP-A,1,3,100,100
1070202745800HFT,貼片IC,3-Series to 16-Series Battery Monitor IC TQFP,1,3,100,100
1040603490000HFT,LED燈,￠5 紅綠雙色共陽極  3P 白色霧面,2,3,100,200
CXX254MSDIP00N00,插頭.插座,排針端子 單排單塑排針 間距2.54mm 1*6P,1,3,100,100
C02250MSDIP00N00,插頭.插座,XH-2A 1*2P 2.5mm 立式 白色,2,3,100,200
C03250MSDIP00N00,插頭.插座,XH-3A 1*3P 2.5mm 立式 白色,1,3,100,100
C13250MSDIP00N00,插頭.插座,XH-13A 1*13P 2.5mm 立式 白色,1,3,100,100
822S254010001000,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W TW60 BD,1,2,100,100
1010302531102HF0,PCB,S25401-00 45*25*1.6mm 雙面板 FR-4 94V-0 2oz L-F HASL綠油白字,1,3,100,100
C02720MSDIP00N00,插頭.插座,板端連接器 TW60B-M ,1,3,100,100
C02720FMDIP00N00,插頭.插座,板端連接器 TW60B-F,1,3,100,100
